CMDLINE 71021
MEM 384.839844 1669316714.9779
MEM 384.839844 1669316715.0822
MEM 385.238281 1669316715.1829
MEM 385.605469 1669316715.2881
MEM 387.253906 1669316715.3915
MEM 387.386719 1669316715.4968
MEM 387.503906 1669316715.6020
MEM 387.523438 1669316715.7029
MEM 387.492188 1669316715.8081
MEM 387.492188 1669316715.9136
MEM 387.492188 1669316716.0189
MEM 387.492188 1669316716.1244
MEM 387.492188 1669316716.2299
MEM 387.492188 1669316716.3361
MEM 387.492188 1669316716.4406
MEM 387.492188 1669316716.5463
MEM 387.492188 1669316716.6515
MEM 387.492188 1669316716.7537
MEM 387.492188 1669316716.8605
MEM 387.492188 1669316716.9640
MEM 387.492188 1669316717.0696
MEM 387.492188 1669316717.1719
MEM 387.492188 1669316717.2774
MEM 387.492188 1669316717.3819
MEM 387.492188 1669316717.4879
MEM 387.492188 1669316717.5890
MEM 387.492188 1669316717.6920
MEM 387.492188 1669316717.7959
MEM 387.492188 1669316717.9000
MEM 387.492188 1669316718.0041
MEM 387.492188 1669316718.1053
MEM 387.492188 1669316718.2078
MEM 387.425781 1669316718.3167
MEM 387.425781 1669316718.4253
MEM 387.121094 1669316718.5291
MEM 386.554688 1669316718.6321
MEM 386.445312 1669316718.7337
MEM 386.355469 1669316718.8370
MEM 386.316406 1669316718.9380
MEM 386.316406 1669316719.0390
MEM 384.824219 1669316719.1440
MEM 384.824219 1669316719.2497
MEM 384.824219 1669316719.3541
MEM 384.210938 1669316719.4564
MEM 384.210938 1669316719.5584
MEM 384.210938 1669316719.6629
MEM 384.210938 1669316719.7635
MEM 384.210938 1669316719.8661
MEM 384.210938 1669316719.9670
MEM 383.890625 1669316720.0695
MEM 383.875000 1669316720.1716
MEM 383.875000 1669316720.2763
MEM 383.875000 1669316720.3786
MEM 383.875000 1669316720.4793
MEM 383.875000 1669316720.5850
MEM 383.875000 1669316720.6900
MEM 383.460938 1669316720.7930
MEM 382.214844 1669316720.8953
MEM 382.214844 1669316721.0013
MEM 382.214844 1669316721.1062
MEM 382.214844 1669316721.2067
MEM 382.214844 1669316721.3088
MEM 382.214844 1669316721.4106
MEM 382.214844 1669316721.5162
MEM 382.214844 1669316721.6170
MEM 382.214844 1669316721.7175
MEM 382.214844 1669316721.8200
MEM 382.214844 1669316721.9211
MEM 382.214844 1669316722.0238
MEM 382.214844 1669316722.1261
MEM 382.214844 1669316722.2300
MEM 382.214844 1669316722.3337
MEM 382.214844 1669316722.4396
MEM 382.214844 1669316722.5406
MEM 382.710938 1669316722.6418
MEM 382.695312 1669316722.7470
MEM 383.855469 1669316722.8522
MEM 383.863281 1669316722.9564
MEM 383.804688 1669316723.0619
MEM 383.804688 1669316723.1671
MEM 383.804688 1669316723.2711
MEM 383.863281 1669316723.3763
MEM 384.031250 1669316723.4793
MEM 384.589844 1669316723.5845
MEM 384.871094 1669316723.6897
MEM 384.871094 1669316723.7906
MEM 384.894531 1669316723.8957
MEM 384.832031 1669316724.0009
MEM 384.832031 1669316724.1062
MEM 384.953125 1669316724.2114
MEM 385.593750 1669316724.3147
MEM 385.593750 1669316724.4199
MEM 385.625000 1669316724.5251
MEM 385.609375 1669316724.6304
MEM 385.609375 1669316724.7310
MEM 385.609375 1669316724.8364
MEM 385.609375 1669316724.9412
MEM 385.609375 1669316725.0417
MEM 385.609375 1669316725.1473
MEM 385.609375 1669316725.2527
MEM 385.609375 1669316725.3557
MEM 385.609375 1669316725.4573
MEM 385.609375 1669316725.5629
MEM 385.609375 1669316725.6663
MEM 385.609375 1669316725.7717
MEM 385.609375 1669316725.8731
MEM 385.609375 1669316725.9757
MEM 385.609375 1669316726.0810
MEM 385.609375 1669316726.1867
MEM 385.609375 1669316726.2907
MEM 385.609375 1669316726.3965
MEM 385.609375 1669316726.5018
MEM 385.609375 1669316726.6073
MEM 385.609375 1669316726.7091
MEM 385.609375 1669316726.8142
MEM 385.609375 1669316726.9164
MEM 385.609375 1669316727.0211
MEM 385.609375 1669316727.1267
MEM 385.609375 1669316727.2321
MEM 385.609375 1669316727.3378
MEM 385.609375 1669316727.4413
MEM 385.609375 1669316727.5478
MEM 385.609375 1669316727.6502
MEM 385.609375 1669316727.7510
MEM 385.609375 1669316727.8567
MEM 385.609375 1669316727.9605
MEM 385.609375 1669316728.0631
MEM 385.609375 1669316728.1675
MEM 385.609375 1669316728.2686
MEM 384.472656 1669316728.3705
MEM 384.472656 1669316728.4713
MEM 384.472656 1669316728.5768
MEM 384.472656 1669316728.6856
MEM 384.472656 1669316728.7920
MEM 384.472656 1669316728.8965
MEM 384.414062 1669316729.0012
MEM 384.183594 1669316729.1067
MEM 384.183594 1669316729.2090
MEM 384.183594 1669316729.3135
MEM 384.183594 1669316729.4141
MEM 384.175781 1669316729.5195
MEM 384.175781 1669316729.6217
MEM 384.175781 1669316729.7258
MEM 384.175781 1669316729.8270
MEM 384.175781 1669316729.9277
MEM 384.175781 1669316730.0331
MEM 384.351562 1669316730.1381
MEM 384.722656 1669316730.2433
MEM 384.722656 1669316730.3482
MEM 385.507812 1669316730.4520
MEM 385.972656 1669316730.5547
MEM 386.152344 1669316730.6599
MEM 386.167969 1669316730.7652
MEM 386.218750 1669316730.8694
MEM 386.152344 1669316730.9746
MEM 386.152344 1669316731.0773
MEM 386.152344 1669316731.1830
MEM 386.152344 1669316731.2844
MEM 386.203125 1669316731.3876
MEM 386.285156 1669316731.4923
MEM 386.285156 1669316731.5959
MEM 387.957031 1669316731.7011
MEM 388.046875 1669316731.8064
MEM 388.097656 1669316731.9103
MEM 388.101562 1669316732.0155
MEM 388.113281 1669316732.1208
MEM 388.042969 1669316732.2251
MEM 388.042969 1669316732.3297
MEM 388.042969 1669316732.4357
MEM 388.035156 1669316732.5374
MEM 388.582031 1669316732.6414
MEM 388.613281 1669316732.7419
MEM 388.628906 1669316732.8471
MEM 390.214844 1669316732.9523
MEM 390.601562 1669316733.0562
MEM 390.640625 1669316733.1572
MEM 390.640625 1669316733.2595
MEM 390.570312 1669316733.3626
MEM 390.570312 1669316733.4650
MEM 390.769531 1669316733.5702
MEM 390.824219 1669316733.6738
MEM 390.824219 1669316733.7750
MEM 391.632812 1669316733.8761
MEM 391.859375 1669316733.9812
MEM 391.882812 1669316734.0840
MEM 391.882812 1669316734.1892
MEM 391.882812 1669316734.2944
MEM 391.816406 1669316734.3986
MEM 391.816406 1669316734.5039
MEM 391.816406 1669316734.6056
MEM 391.816406 1669316734.7102
